Layer 0: Embedding(128100, 1536) , (p>>0)n= 3847 , (total)N= 196761600 ,fraction= 1.9551579169919333e-05
Layer 1: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1346 , (total)N= 1536 ,fraction= 0.8763020833333334
Layer 2: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 43 , (total)N= 2359296 ,fraction= 1.8225775824652777e-05
Layer 3: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 2 , (total)N= 2359296 ,fraction= 8.477105034722222e-07
Layer 4: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 2 , (total)N= 2359296 ,fraction= 8.477105034722222e-07
Layer 5: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 319 , (total)N= 2359296 ,fraction= 0.00013520982530381944
Layer 6: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1509 , (total)N= 1536 ,fraction= 0.982421875
Layer 7: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 3 , (total)N= 9437184 ,fraction= 3.178914388020833e-07
Layer 8: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 42 , (total)N= 9437184 ,fraction= 4.450480143229167e-06
Layer 9: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 10: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 11: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 12: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 13: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 14: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1533 , (total)N= 1536 ,fraction= 0.998046875
Layer 15: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 18 , (total)N= 9437184 ,fraction= 1.9073486328125e-06
Layer 16: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 315 , (total)N= 9437184 ,fraction= 3.337860107421875e-05
Layer 17: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1529 , (total)N= 1536 ,fraction= 0.9954427083333334
Layer 18: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 19: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 20: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 21: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 2 , (total)N= 2359296 ,fraction= 8.477105034722222e-07
Layer 22: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1535 , (total)N= 1536 ,fraction= 0.9993489583333334
Layer 23: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 34 , (total)N= 9437184 ,fraction= 3.6027696397569444e-06
Layer 24: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 220 , (total)N= 9437184 ,fraction= 2.331203884548611e-05
Layer 25: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1530 , (total)N= 1536 ,fraction= 0.99609375
Layer 26: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 27: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 28: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 29: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 30: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 31: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 54 , (total)N= 9437184 ,fraction= 5.7220458984375e-06
Layer 32: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 199 , (total)N= 9437184 ,fraction= 2.1086798773871527e-05
Layer 33: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1529 , (total)N= 1536 ,fraction= 0.9954427083333334
Layer 34: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 35: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 36: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 37: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 38: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1535 , (total)N= 1536 ,fraction= 0.9993489583333334
Layer 39: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 61 , (total)N= 9437184 ,fraction= 6.463792588975694e-06
Layer 40: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 312 , (total)N= 9437184 ,fraction= 3.3060709635416664e-05
Layer 41: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1530 , (total)N= 1536 ,fraction= 0.99609375
Layer 42: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 43: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 44: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 45: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 46: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1534 , (total)N= 1536 ,fraction= 0.9986979166666666
Layer 47: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 40 , (total)N= 9437184 ,fraction= 4.238552517361111e-06
Layer 48: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 175 , (total)N= 9437184 ,fraction= 1.854366726345486e-05
Layer 49: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1527 , (total)N= 1536 ,fraction= 0.994140625
Layer 50: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 51: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 52: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 53: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 54: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 55: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 100 , (total)N= 9437184 ,fraction= 1.0596381293402777e-05
Layer 56: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 227 , (total)N= 9437184 ,fraction= 2.4053785536024305e-05
Layer 57: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1527 , (total)N= 1536 ,fraction= 0.994140625
Layer 58: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 59: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 60: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 61: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 1 , (total)N= 2359296 ,fraction= 4.238552517361111e-07
Layer 62: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1535 , (total)N= 1536 ,fraction= 0.9993489583333334
Layer 63: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 137 , (total)N= 9437184 ,fraction= 1.4517042371961805e-05
Layer 64: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 160 , (total)N= 9437184 ,fraction= 1.6954210069444445e-05
Layer 65: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1530 , (total)N= 1536 ,fraction= 0.99609375
Layer 66: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 67: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 68: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 69: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 70: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
